version,Engine_commit,Snapshot_Hash
2.2.0-10.1.pre,d2a2e93510ad6cfc3d62a90d903b7056e4da8264,34f6eec64e9371856eaaa278ccf56538
2.2.0-10.1.pre,d2a2e93510ad6cfc3d62a90d903b7056e4da8264,34f6eec64e9371856eaaa278ccf56538
2.0.4,2dce47073a378673f6ca095e91b8065544c3a881,5b97292b25f0a715613b7a28e0734f77
2.0.3,3459eb24361807fb186953a864cf890fa8e9d26a,5b97292b25f0a715613b7a28e0734f77
2.1.0-12.2.pre,711ab3fda05004ee5f6035f2a0bf099fca39a129,39a9141bbcc3cae43e6f9f6b7fbaafe3
2.0.2,5d8bf811b3072390933d69f3e289a4bb673636c4,5b97292b25f0a715613b7a28e0734f77
2.1.0-12.1.pre,711ab3fda05004ee5f6035f2a0bf099fca39a129,39a9141bbcc3cae43e6f9f6b7fbaafe3
2.0.2,5d8bf811b3072390933d69f3e289a4bb673636c4,5b97292b25f0a715613b7a28e0734f77
2.0.1,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
2.0.1,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
2.1.0-10.0.pre,a252ec09b74cca0f8d8d3450566bf77c77f81e8d,f6a6cef736ffc4c3af80bffd37d6e45b
2.0.0,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
2.0.0,40441def692f444660a11e20fac37af9050245ab,5b97292b25f0a715613b7a28e0734f77
1.26.0-17.8.pre,042c82b02c83c20e57a67d86a8d3b7677d983556,5b97292b25f0a715613b7a28e0734f77
1.27.0-8.0.pre,6993cb229b99e6771c6c6c2b884ae006d8160a0f,e8b7543ba0865c5bac45bf158bb3d4c1
1.26.0-17.7.pre,4a466e17cb02da06e9e256a278cb9779f2abb245,5b97292b25f0a715613b7a28e0734f77
1.27.0-4.0.pre,1d537824d6d29bf9967172d32450ef0671097cef,e8b7543ba0865c5bac45bf158bb3d4c1
1.26.0-17.6.pre,21fa8bb99e9a20563d9a7d39afeba8e5c811a7eb,5b97292b25f0a715613b7a28e0734f77
1.26.0-17.5.pre,d4453f601890ec682bbf8f5659b70f15cce1d67d,5b97292b25f0a715613b7a28e0734f77
1.27.0-1.0.pre,b04955656c87de0d80d259792e3a0e4a23b7c260,3309d422163e238c4f079ab2eff8468e
1.26.0-17.1.pre,5d3477eab415fbcc3d58624b07f0a768f8208f98,f825989a7b7325a3cb548893706a89cd
1.22.6,2f0af3715217a0c2ada72c717d4ed9178d68f6ed,8ee4ef7a67df9845fba331734198a953
1.26.0-12.0.pre,effb529ecec86cbcad2ced2a567cb14ab20b10d5,37f5a68f6d9885a875de9587a2fb600c
1.25.0-8.3.pre,7a8f8ca02c276dce02f8dd42a44e776ac03fa9bc,9e2165577cef0f0f70f9ff072107920c
1.26.0-8.0.pre,42a8d4c681baf87d2f2829ed3728eee4fe2bc3fe,aec2861b8a7fb93059cdbfbaf230c8a4
1.25.0-8.2.pre,92ae191c17a53144bf4d62f3863c110be08e3fd3,9e2165577cef0f0f70f9ff072107920c
1.26.0-1.0.pre,4797b066524201e86d6bc5c110104c390899f264,829d11a5989e6bd2526c514b9c2e410e
1.25.0-8.1.pre,92ae191c17a53144bf4d62f3863c110be08e3fd3,9e2165577cef0f0f70f9ff072107920c
1.22.5,ae90085a8437c0ae94d6b5ad2741739ebc742cb4,8ee4ef7a67df9845fba331734198a953
1.25.0-8.0.pre,df39e5c51517a73e61647286ab21252074512c63,9e2165577cef0f0f70f9ff072107920c
1.25.0-4.0.pre,20caf549695193a9920ca37752eca4f141bbef31,9a7ca53956616eff82b5118a5646ecd7
1.24.0-10.2.pre,07c1eed46b9d9b58df78566e9b8b2e42e80d3380,a2bdb58c7edf9471da9180bf8185e7f7
1.24.0-10.2.pre,07c1eed46b9d9b58df78566e9b8b2e42e80d3380,a2bdb58c7edf9471da9180bf8185e7f7
1.24.0-10.1.pre,bd390c0310ed240f5781b55b6eb6d5b9f0e2955f,a2bdb58c7edf9471da9180bf8185e7f7
1.22.4,2c956a31c0a3d350827aee6c56bb63337c5b4e6e,8ee4ef7a67df9845fba331734198a953
1.24.0-7.0.pre,073263e39d1d12313c9622ac3788cc9f2b01f582,5f5dd71f0d89fecf2ed8f6e87c213275
1.24.0-6.0.pre,073263e39d1d12313c9622ac3788cc9f2b01f582,5f5dd71f0d89fecf2ed8f6e87c213275
1.22.3,a1440ca392ca23e874a105c5f3248b495bd0e247,8ee4ef7a67df9845fba331734198a953
1.24.0-3.0.pre,defa8be2b10650dad50dfee9324ed8d16eeec13f,2271cfbd1a08b3bb99ea8727cdd0e564
1.24.0-1.0.pre,069b3cf8f093d44ec4bae1319cbfdc4f8b4753b6,1448a25ffd3b0f8d97bcd5eb5980feb6
1.22.2,b8752bbfff0419c8bf616b602bc59fd28f6a3d1b,8ee4ef7a67df9845fba331734198a953
1.23.0-18.1.pre,1d12d82d9cb54876f58044aa52198d53ec841c3d,953aa80d78c4d8886e3e4d784fd9d95f
1.23.0-18.0.pre,66344068899635154addec16005167113b9c1e9d,953aa80d78c4d8886e3e4d784fd9d95f
1.23.0-13.0.pre,443cd5a1e1b3ef5d98953a6f4cf1b30df582d0ca,49f28fbe1e16c41d8bc794b024c9171b
1.22.1,75bef9f6c8ac2ed4e1e04cdfcd88b177d9f1850d,8ee4ef7a67df9845fba331734198a953
1.22.0-12.4.pre,75bef9f6c8ac2ed4e1e04cdfcd88b177d9f1850d,8ee4ef7a67df9845fba331734198a953
1.23.0-7.0.pre,3a73d073c8bedb678d82ee78daf05037b3a7a85e,70cbcf7b49d7e90b8b50ec409457f1f2
1.22.0,5babba6c4d25fa237bbf755ab85c9a0c50b3c6ec,8ee4ef7a67df9845fba331734198a953
1.22.0-12.3.pre,5babba6c4d25fa237bbf755ab85c9a0c50b3c6ec,8ee4ef7a67df9845fba331734198a953
1.22.0-12.2.pre,f763b5b9b936872bc6c84b4395286ce684e3b431,8ee4ef7a67df9845fba331734198a953
1.23.0-4.0.pre,2abe69c6081888f28217d8dece4fde2f5490fbab,ebd546b338c127fc12395d652327c084
1.22.0-12.1.pre,4654fc6cf6416daae78eac2c211ad84c46e21625,8ee4ef7a67df9845fba331734198a953
